Date,Close,Market Return,Short MA,Long MA,Signal,Position,Position Change,Trading Cost,Strategy Return,Buy Hold Growth,Strategy Growth
2018-12-17,10888.349609375,0.007672000015183311,10720.822509765625,10534.41701171875,1,1.0,0.0,0.0,0.007672000015183311,2.081026949070067,1.276743128918632
2018-12-18,10908.7001953125,0.0018690239262686426,10728.0875,10540.606015625,1,1.0,0.0,0.0,0.0018690239262686426,2.084916438229089,1.27912939237428
2018-12-19,10967.2998046875,0.005371823253533137,10743.64248046875,10553.6230078125,1,1.0,0.0,0.0,0.005371823253533137,2.0961162408336413,1.2860006493885139
2018-12-20,10951.7001953125,-0.001422374664029169,10761.225,10565.696015625,1,1.0,0.0,0.0,-0.001422374664029169,2.0931347781998193,1.2841714746468986
2018-12-21,10754.0,-0.018052009440243655,10772.5875,10574.75501953125,1,1.0,0.0,0.0,-0.018052009440243655,2.055349489424054,1.2609895990636812
2018-12-24,10663.5,-0.008415473312255894,10774.33251953125,10578.82302734375,1,1.0,0.0,0.0,-0.008415473312255894,2.038052750648447,1.2503777747457285
2018-12-26,10729.849609375,0.006222123071693231,10776.54501953125,10588.72701171875,1,1.0,0.0,0.0,0.006222123071693231,2.0507337656895843,1.2581577791463063
2018-12-27,10779.7998046875,0.004655255863871277,10779.092529296875,10594.8730078125,1,1.0,0.0,0.0,0.004655255863871277,2.0602804560775496,1.2640148255253525
2018-12-28,10859.900390625,0.007430619064249022,10779.1525390625,10601.821015625,1,1.0,0.0,0.0,0.007430619064249022,2.0755896153121793,1.2734072381853945
2018-12-31,10862.5498046875,0.00024396301689710853,10778.442529296875,10607.37701171875,1,1.0,0.0,0.0,0.00024396301689710853,2.0760959824165712,1.2737179024569607
2019-01-02,10792.5,-0.006448744166611009,10773.880029296875,10614.166015625,1,1.0,0.0,0.0,-0.006448744166611009,2.062707770560638,1.2655040215635833
2019-01-03,10672.25,-0.011141996757007222,10764.017529296874,10621.54001953125,1,1.0,0.0,0.0,-0.011141996757007222,2.039725087270398,1.2514037798593423
2019-01-04,10727.349609375,0.0051628859308019415,10761.239990234375,10631.18201171875,1,1.0,0.0,0.0,0.0051628859308019415,2.05025595522617,1.2578646348281304
2019-01-07,10771.7998046875,0.004143632577580325,10769.7724609375,10643.68201171875,1,1.0,0.0,0.0,0.004143632577580325,2.0587514625946235,1.2630767637071905
2019-01-08,10802.150390625,0.0028175965472634346,10775.194970703125,10655.23001953125,1,1.0,0.0,0.0,0.0028175965472634346,2.0645521936073035,1.2666356044355405
