Date,Close,Daily Return,Fast MA,Slow MA,Signal,Position,Position Change,Trading Cost,Strategy Return,Strategy Growth,Buy Hold Growth
2012-09-24,5669.60009765625,-0.0037865466658373315,5625.0099609375,5319.928017578125,1,1.0,0.0,0.0,-0.0037865466658373315,1.0088119742531971,1.0835977000145376
2012-09-25,5673.89990234375,0.0007583964677293498,5637.78994140625,5327.28001953125,1,1.0,0.0,0.0,0.0007583964677293498,1.0095770536910738,1.0844194966826683
2012-09-26,5663.4501953125,-0.0018417150832945595,5650.47001953125,5335.8440234375,1,1.0,0.0,0.0,-0.0018417150832945595,1.007717700403543,1.0824223049390092
2012-09-27,5649.5,-0.0024631973146062025,5669.52001953125,5344.2890234375,1,1.0,0.0,0.0,-0.0024631973146062025,1.0052354928700278,1.0797560852242136
2012-09-28,5703.2998046875,0.00952293206257182,5671.95,5354.41001953125,1,1.0,0.0,0.0,0.00952293206257182,1.0148082821755149,1.0900385290679524
2012-10-01,5718.7998046875,0.0027177249190477593,5681.78994140625,5364.929013671875,1,1.0,0.0,0.0,0.0027177249190477593,1.0175662519320394,1.0930009539411225
2012-10-03,5731.25,0.002177064373243942,5693.2599609375,5375.228017578125,1,1.0,0.0,0.0,0.002177064373243942,1.019781559166536,1.0953804873778694
2012-10-04,5787.60009765625,0.009832078107960829,5718.08994140625,5386.126015625,1,1.0,0.0,0.0,0.009832078107960829,1.0298081311093195,1.1061503538877049
2012-10-05,5746.9501953125,-0.007023619748747212,5737.57998046875,5396.963017578125,1,1.0,0.0,0.0,-0.007023619748747212,1.0225751503822396,1.0983811744170555
2012-10-08,5676.0,-0.012345712578189838,5732.12001953125,5408.124013671875,1,1.0,0.0,0.0,-0.012345712578189838,1.0099507314860212,1.084820876136408
2012-10-09,5704.60009765625,0.00503877689504062,5729.280078125,5419.65201171875,1,1.0,0.0,0.0,0.00503877689504062,1.0150396478969623,1.0902870465023418
2012-10-10,5652.14990234375,-0.009194368477125958,5713.46005859375,5430.5030078125,1,1.0,0.0,0.0,-0.009194368477125958,1.0057069993553054,1.0802625456509618
2012-10-11,5708.0498046875,0.009890024735644376,5697.55,5443.80400390625,1,1.0,0.0,0.0,0.009890024735644376,1.01565346645574,1.09094636894844
2012-10-12,5676.0498046875,-0.005606117867738569,5683.369921875,5455.327998046875,1,1.0,0.0,0.0,-0.005606117867738569,1.0099595934100118,1.0848303950167337
2012-10-15,5687.25,0.001973237673716488,5685.619921875,5465.077001953125,1,1.0,0.0,0.0,0.001973237673716488,1.01195248372866,1.0869710232217735
2012-10-16,5648.0,-0.006901402259440026,5674.29990234375,5473.457001953125,1,1.0,0.0,0.0,-0.006901402259440026,1.004968592571009,1.079469398946165
2012-10-17,5660.25,0.0021689093484418276,5675.919921875,5481.852001953125,1,1.0,0.0,0.0,0.0021689093484418276,1.0071482783463268,1.0818106702168961
2012-10-18,5718.7001953125,0.010326433516629097,5678.05,5491.671005859375,1,1.0,0.0,0.0,0.010326433516629097,1.0175485280840577,1.0929819161804708
2012-10-19,5684.25,-0.00602413033310234,5679.6900390625,5501.042001953125,1,1.0,0.0,0.0,-0.00602413033310234,1.0114186831306229,1.0863976506656756
2012-10-22,5717.14990234375,0.005787905588907849,5685.67001953125,5509.73400390625,1,1.0,0.0,0.0,0.005787905588907849,1.0172726789794404,1.09268561769974
2012-10-23,5691.39990234375,-0.004503992450756611,5694.35,5516.827998046875,1,1.0,0.0,0.0,-0.004503992450756611,1.0126908905129561,1.0877641699265699
2012-10-25,5705.2998046875,0.0024422642200956357,5703.3599609375,5524.173994140625,1,1.0,0.0,0.0,0.0024422642200956357,1.0151641492408727,1.0904207774386836
2012-10-29,5665.60009765625,-0.006958391038211942,5692.73994140625,5531.0269921875,1,1.0,0.0,0.0,-0.006958391038211942,1.008100240122481,1.082833203273074
2012-10-30,5597.89990234375,-0.01194934237248868,5675.469921875,5536.5769921875,1,1.0,0.0,0.0,-0.01194934237248868,0.9960541052074694,1.0698940585948655
2012-10-31,5619.7001953125,0.0038943699153359823,5655.97998046875,5542.012998046875,1,1.0,0.0,0.0,0.0038943699153359823,0.9999331083488363,1.074060621829254
2012-11-01,5645.0498046875,0.0045108472861496995,5646.7099609375,5547.3069921875,1,1.0,0.0,0.0,0.0045108472861496995,1.004443653896963,1.0789055452703928
2012-11-02,5697.7001953125,0.009326824819380741,5645.1900390625,5554.0019921875,1,1.0,0.0,0.0,0.009326824819380741,1.0138119238977987,1.0889683082877883
